cat/real,regression bin width,MAE
0.1,1,1.148491594
0.1,0.1,1.023095371
0.1,2,1.149532966
0.1,4,1.149793313
0.1,0.25,1.127739574
0.25,0.5,1.144327215
0.1,0.5,1.144327215
0.1,8,1.1498584
0.25,2,1.149532966
0.25,8,1.1498584
1,2,1.149532966
2,0.1,1.023095371
0.25,0.1,1.023095371
1,0.5,1.144327215
0.5,0.25,1.127739574
0.5,8,1.1498584
0.25,0.25,1.127739574
0.25,1,1.148491594
0.5,4,1.149793313
1,0.25,1.127739574
0.5,1,1.148491594
0.5,2,1.149532966
0.5,0.1,1.023095371
1,4,1.149793313
0.25,4,1.149793313
0.5,0.5,1.144327215
2,0.25,1.127739574
1,0.1,1.023095371
2,0.5,1.144327215
2,1,1.148491594
1,1,1.148491594
1,8,1.1498584
10,0.25,1.127739574
2,2,1.149532966
4,0.1,1.023095371
2,4,1.149793313
2,8,1.1498584
4,0.5,1.144327215
4,4,1.149793313
4,8,1.1498584
4,1,1.148491594
4,0.25,1.127739574
10,0.1,1.023095371
4,2,1.149532966
10,4,1.149793313
10,8,1.1498584
10,1,1.148491594
0.1,8,1.340509501
0.25,0.1,1.221387045
0.1,0.5,1.335861472
10,0.5,1.144327215
0.25,0.5,1.335861472
0.25,1,1.339368234
10,2,1.149532966
0.1,0.25,1.321470279
0.1,0.1,1.221387045
0.1,2,1.340238205
0.1,1,1.339368234
0.1,4,1.340455264
0.25,4,1.340455264
0.25,0.25,1.321470279
0.25,2,1.340238205
0.5,0.1,1.221387045
0.25,8,1.340509501
0.5,0.25,1.321470279
0.5,0.5,1.335861472
1,0.5,1.335861472
0.5,1,1.339368234
0.5,2,1.340238205
0.5,4,1.340455264
0.5,8,1.340509501
1,0.1,1.221387045
2,0.1,1.221387045
1,0.25,1.321470279
1,4,1.340455264
1,8,1.340509501
2,0.25,1.321470279
1,1,1.339368234
1,2,1.340238205
2,4,1.340455264
2,1,1.339368234
2,8,1.340509501
4,1,1.339368234
4,0.25,1.321470279
2,2,1.340238205
2,0.5,1.335861472
4,0.1,1.221387045
4,0.5,1.335861472
4,8,1.340509501
10,0.5,1.335861472
4,2,1.340238205
4,4,1.340455264
10,0.25,1.321470279
10,1,1.339368234
10,0.1,1.221387045
10,2,1.340238205
10,4,1.340455264
10,8,1.340509501
0.1,0.1,1.350133806
0.1,0.25,1.454956302
0.1,0.5,1.46995566
0.1,8,1.474801306
0.1,1,1.473611849
0.25,0.1,1.350152218
0.1,4,1.474744785
0.1,2,1.47451858
0.25,0.25,1.454961029
0.25,0.5,1.469956909
0.5,0.5,1.469956909
0.25,1,1.473612166
0.5,8,1.474801311
0.25,2,1.474518659
0.25,4,1.474744805
0.5,0.25,1.454961029
0.5,4,1.474744805
0.5,2,1.474518659
0.5,0.1,1.350152218
1,0.1,1.350152218
0.5,1,1.473612166
0.25,8,1.474801311
1,0.25,1.454961029
1,2,1.474518659
1,1,1.473612166
1,4,1.474744805
1,0.5,1.469956909
2,0.1,1.350152218
1,8,1.474801311
2,0.25,1.454961029
2,0.5,1.469956909
2,1,1.473612166
2,2,1.474518659
2,4,1.474744805
4,0.1,1.350152218
4,0.25,1.454961029
4,0.5,1.469956909
4,1,1.473612166
4,4,1.474744805
2,8,1.474801311
4,2,1.474518659
4,8,1.474801311
10,4,1.474744805
10,1,1.473612166
10,2,1.474518659
10,0.1,1.350152218
10,8,1.474801311
10,0.25,1.454961029
0.1,0.1,1.384345121
0.1,0.25,1.48423075
10,0.5,1.469956909
0.1,0.5,1.500183922
0.1,1,1.50418526
0.1,2,1.505183229
0.1,8,1.50549482
0.25,0.5,1.495653015
0.1,4,1.505432513
0.25,0.1,1.384439521
0.25,0.25,1.480473745
0.25,1,1.499455733
0.25,2,1.500403745
0.25,4,1.500640521
0.25,8,1.5006997
0.5,0.1,1.384439521
0.5,0.25,1.480473745
0.5,0.5,1.495653015
0.5,1,1.499455733
0.5,2,1.500403745
0.5,4,1.500640521
0.5,8,1.5006997
1,0.5,1.495653015
1,0.1,1.384439521
1,0.25,1.480473745
1,2,1.500403745
1,1,1.499455733
2,4,1.500640521
2,2,1.500403745
2,0.1,1.384439521
2,0.25,1.480473745
4,0.1,1.384439521
2,8,1.5006997
1,4,1.500640521
4,1,1.499455733
4,0.5,1.495653015
10,0.1,1.384439521
2,1,1.499455733
1,8,1.5006997
4,4,1.500640521
4,2,1.500403745
10,0.25,1.480473745
4,0.25,1.480473745
2,0.5,1.495653015
4,8,1.5006997
10,0.5,1.495653015
10,1,1.499455733
10,2,1.500403745
10,4,1.500640521
10,8,1.5006997
0.1,0.1,1.399328921
0.1,0.25,1.486534797
0.1,0.5,1.499536002
0.1,2,1.503349002
0.1,1,1.502599908
0.1,8,1.503581638
0.1,4,1.503535167
0.25,0.25,1.491020334
0.25,1,1.508492469
0.25,0.1,1.401839543
0.25,0.5,1.50512702
0.25,2,1.509318446
0.5,0.1,1.401839543
0.25,4,1.509523925
0.5,4,1.509523925
0.5,1,1.508492469
0.25,8,1.50957523
0.5,0.25,1.491020334
0.5,8,1.50957523
0.5,0.5,1.50512702
1,0.1,1.401839543
0.5,2,1.509318446
1,0.25,1.491020334
1,0.5,1.50512702
1,2,1.509318446
1,1,1.508492469
1,4,1.509523925
1,8,1.50957523
2,0.1,1.401839543
2,0.25,1.491020334
2,1,1.508492469
2,0.5,1.50512702
2,2,1.509318446
2,4,1.509523925
2,8,1.50957523
4,0.1,1.401839543
4,0.25,1.491020334
4,0.5,1.50512702
4,2,1.509318446
10,0.5,1.50512702
4,1,1.508492469
4,4,1.509523925
4,8,1.50957523
10,0.1,1.401839543
10,2,1.509318446
10,0.25,1.491020334
10,4,1.509523925
10,1,1.508492469
0.1,1,1.508696892
0.1,0.25,1.491567395
0.1,2,1.509498196
0.1,0.1,1.405185393
0.1,4,1.509697342
0.1,8,1.509747054
10,8,1.50957523
0.25,0.25,1.497924713
0.1,0.5,1.505420254
0.25,0.1,1.407540974
0.25,0.5,1.51216841
0.25,1,1.51552243
0.25,2,1.516343297
0.25,4,1.516547361
0.25,8,1.516598305
0.5,0.1,1.407540974
0.5,0.25,1.497924713
0.5,0.5,1.51216841
0.5,1,1.51552243
0.5,2,1.516343297
0.5,4,1.516547361
0.5,8,1.516598305
1,0.1,1.407540974
1,1,1.51552243
1,0.25,1.497924713
2,1,1.51552243
1,2,1.516343297
1,0.5,1.51216841
1,8,1.516598305
1,4,1.516547361
2,2,1.516343297
2,0.1,1.407540974
2,0.5,1.51216841
2,0.25,1.497924713
2,8,1.516598305
4,0.5,1.51216841
4,0.25,1.497924713
4,0.1,1.407540974
4,4,1.516547361
4,2,1.516343297
4,1,1.51552243
2,4,1.516547361
10,0.1,1.407540974
4,8,1.516598305
10,0.25,1.497924713
10,0.5,1.51216841
10,2,1.516343297
10,1,1.51552243
10,4,1.516547361
0.1,0.1,1.44152469
10,8,1.516598305
0.1,0.25,1.525020598
0.1,0.5,1.536466698
0.1,1,1.539040193
0.1,2,1.539662544
0.1,8,1.539855286
0.1,4,1.539816804
0.25,0.5,1.549355065
0.25,0.25,1.535496251
0.25,0.1,1.443557096
0.25,1,1.552603177
0.25,2,1.553394953
0.25,4,1.553591629
0.25,8,1.553640718
0.5,0.25,1.5368455
0.5,1,1.554648326
0.5,0.1,1.443495415
0.5,8,1.555738202
1,0.1,1.443495415
0.5,0.5,1.551245666
1,0.25,1.5368455
0.5,4,1.555686603
0.5,2,1.555479905
1,1,1.554648326
1,0.5,1.551245666
1,2,1.555479905
1,4,1.555686603
1,8,1.555738202
2,0.1,1.443495415
2,0.5,1.551245666
2,0.25,1.5368455
2,1,1.554648326
2,2,1.555479905
2,4,1.555686603
2,8,1.555738202
4,0.25,1.5368455
4,0.1,1.443495415
10,0.5,1.551245666
4,0.5,1.551245666
4,1,1.554648326
4,2,1.555479905
4,4,1.555686603
10,0.25,1.5368455
4,8,1.555738202
10,0.1,1.443495415
10,2,1.555479905
10,8,1.555738202
10,1,1.554648326
10,4,1.555686603
0.1,0.5,1.560123967
0.1,2,1.564092723
0.25,0.1,1.464815395
0.1,0.25,1.547493849
0.1,4,1.564284677
0.1,0.1,1.462488189
0.1,1,1.563318618
0.1,8,1.564332567
0.25,0.25,1.557823378
0.25,0.5,1.572621688
0.25,1,1.576434185
0.25,2,1.577363567
0.5,0.1,1.46475809
0.25,4,1.577594391
0.25,8,1.577652001
0.5,0.25,1.560135085
0.5,0.5,1.575774516
0.5,1,1.579819052
0.5,2,1.580807629
0.5,8,1.581114656
0.5,4,1.581053323
1,0.1,1.46475809
1,0.5,1.575774516
1,0.25,1.560135085
1,4,1.581053323
1,1,1.579819052
1,8,1.581114656
1,2,1.580807629
2,0.1,1.46475809
2,0.5,1.575774516
2,0.25,1.560135085
2,1,1.579819052
2,2,1.580807629
2,4,1.581053323
2,8,1.581114656
4,1,1.579819052
4,0.25,1.560135085
4,0.1,1.46475809
4,0.5,1.575774516
4,4,1.581053323
4,2,1.580807629
4,8,1.581114656
10,0.1,1.46475809
10,0.5,1.575774516
10,0.25,1.560135085
10,1,1.579819052
10,2,1.580807629
10,8,1.581114656
10,4,1.581053323
0.1,0.25,1.545539305
0.1,0.1,1.463179519
0.1,0.5,1.556712745
0.1,1,1.559165951
0.1,2,1.559756976
0.1,4,1.559903364
0.1,8,1.559939875
0.25,1,1.572367858
0.25,0.25,1.555326038
0.25,0.5,1.569228761
0.25,0.1,1.464081473
0.25,2,1.573129467
0.25,4,1.573318433
0.25,8,1.573365585
0.5,0.5,1.571642316
0.5,0.25,1.557105239
0.5,0.1,1.464097161
0.5,1,1.574949352
0.5,2,1.575753243
0.5,8,1.576002593
1,0.25,1.557105239
0.5,4,1.575952794
1,0.1,1.464097161
1,0.5,1.571642316
1,1,1.574949352
1,2,1.575753243
1,4,1.575952794
1,8,1.576002593
2,0.1,1.464097161
2,0.25,1.557105239
2,0.5,1.571642316
2,1,1.574949352
2,4,1.575952794
2,2,1.575753243
2,8,1.576002593
4,0.1,1.464097161
4,0.25,1.557105239
4,0.5,1.571642316
4,2,1.575753243
4,4,1.575952794
4,1,1.574949352
4,8,1.576002593
10,0.5,1.571642316
10,0.25,1.557105239
10,0.1,1.464097161
10,2,1.575753243
10,1,1.574949352
10,4,1.575952794
0.1,0.1,1.476659143
10,8,1.576002593
0.1,0.25,1.55870406
0.1,0.5,1.569726849
0.1,2,1.572730858
0.1,4,1.572875411
0.1,1,1.572147359
0.1,8,1.572911468
0.25,0.1,1.479182961
0.25,0.25,1.571957889
0.25,0.5,1.585385905
0.25,1,1.588330476
0.25,2,1.589039884
0.25,4,1.589215605
0.25,8,1.589259435
0.5,0.1,1.4792269
0.5,0.25,1.575115863
0.5,0.5,1.589901218
0.5,1,1.593218282
0.5,4,1.594221849
0.5,2,1.59402237
0.5,8,1.594271623
1,0.1,1.4792269
1,0.25,1.575115863
1,0.5,1.589901218
1,2,1.59402237
1,4,1.594221849
1,1,1.593218282
1,8,1.594271623
2,0.1,1.4792269
2,2,1.59402237
2,0.25,1.575115863
2,4,1.594221849
2,0.5,1.589901218
2,1,1.593218282
4,0.1,1.4792269
2,8,1.594271623
4,0.25,1.575115863
4,1,1.593218282
4,0.5,1.589901218
4,2,1.59402237
4,4,1.594221849
10,0.1,1.4792269
4,8,1.594271623
10,0.25,1.575115863
10,0.5,1.589901218
10,1,1.593218282
10,2,1.59402237
10,4,1.594221849
0.1,0.25,1.56624263
0.1,0.1,1.484727811
10,8,1.594271623
0.1,0.5,1.577478516
0.1,1,1.579944405
0.1,2,1.580539072
0.1,4,1.580686414
0.25,0.25,1.577301815
0.25,0.1,1.48730091
0.25,0.5,1.589762544
0.25,1,1.592769571
0.1,8,1.580723168
0.25,4,1.593665972
0.25,8,1.593710266
0.5,0.25,1.581469582
0.5,0.1,1.487373314
0.25,2,1.593488297
0.5,0.5,1.595575874
0.5,4,1.600051715
0.5,1,1.599018355
0.5,2,1.599846625
1,0.1,1.487373314
0.5,8,1.600102865
1,0.5,1.595575874
1,0.25,1.581469582
1,1,1.599018355
1,4,1.600051715
1,2,1.599846625
1,8,1.600102865
2,0.1,1.487373314
2,0.25,1.581469582
2,0.5,1.595575874
2,1,1.599018355
2,2,1.599846625
2,4,1.600051715
2,8,1.600102865
4,0.1,1.487373314
4,0.25,1.581469582
4,0.5,1.595575874
4,1,1.599018355
4,2,1.599846625
4,4,1.600051715
4,8,1.600102865
10,0.1,1.487373314
10,1,1.599018355
10,0.25,1.581469582
10,2,1.599846625
10,0.5,1.595575874
10,4,1.600051715
10,8,1.600102865
0.1,0.5,1.574840031
0.1,0.25,1.565278518
0.1,1,1.576777238
0.1,0.1,1.485205628
0.1,2,1.577234245
0.1,4,1.577346854
0.1,8,1.577374905
0.25,0.1,1.486557648
0.25,0.25,1.575851362
0.25,0.5,1.587521466
0.25,1,1.589912099
0.25,2,1.590479383
0.5,0.1,1.486678482
0.25,4,1.59061941
0.25,8,1.590654306
0.5,0.25,1.581522069
0.5,0.5,1.595659705
0.5,1,1.598723332
0.5,2,1.599461245
0.5,4,1.599644059
0.5,8,1.59968966
1,0.1,1.486678482
1,0.25,1.581522069
1,0.5,1.595659705
1,2,1.599461245
1,4,1.599644059
1,1,1.598723332
1,8,1.59968966
2,0.1,1.486678482
2,0.5,1.595659705
2,1,1.598723332
2,0.25,1.581522069
2,4,1.599644059
2,8,1.59968966
2,2,1.599461245
4,0.1,1.486678482
4,0.25,1.581522069
4,1,1.598723332
4,0.5,1.595659705
4,2,1.599461245
4,4,1.599644059
4,8,1.59968966
10,0.1,1.486678482
10,0.25,1.581522069
10,0.5,1.595659705
10,1,1.598723332
10,2,1.599461245
10,4,1.599644059
10,8,1.59968966
0.1,0.1,1.487334829
0.1,0.25,1.567648674
0.1,0.5,1.577113513
0.1,1,1.579172049
0.1,2,1.579661031
0.1,4,1.579781751
0.1,8,1.579811836
0.25,0.1,1.490159466
0.25,0.25,1.581091672
0.25,0.5,1.593196101
0.25,1,1.5957819
0.25,2,1.59640336
0.25,4,1.596557257
0.5,0.1,1.490275511
0.25,8,1.596595641
0.5,0.25,1.587030803
0.5,0.5,1.601936886
0.5,1,1.605287305
0.5,2,1.606102297
0.5,4,1.606304697
1,0.1,1.490275511
0.5,8,1.606355214
1,0.25,1.587030803
1,0.5,1.601936886
1,1,1.605287305
1,2,1.606102297
1,8,1.606355214
1,4,1.606304697
2,0.1,1.490275511
2,0.5,1.601936886
2,0.25,1.587030803
2,1,1.605287305
2,2,1.606102297
2,8,1.606355214
2,4,1.606304697
4,0.1,1.490275511
4,0.25,1.587030803
4,0.5,1.601936886
4,1,1.605287305
4,2,1.606102297
4,8,1.606355214
10,0.1,1.490275511
4,4,1.606304697
10,0.25,1.587030803
10,1,1.605287305
10,0.5,1.601936886
10,2,1.606102297
10,4,1.606304697
0.1,0.1,1.496124655
10,8,1.606355214
0.1,0.25,1.576591095
0.1,0.5,1.586256775
0.1,1,1.588198742
0.1,2,1.588658038
0.1,4,1.588771325
0.1,8,1.588799552
0.25,0.1,1.495858923
0.25,0.25,1.58719487
0.25,0.5,1.599408538
0.25,1,1.602034981
0.25,2,1.602668443
0.25,4,1.602825471
0.25,8,1.602864647
0.5,0.1,1.495959379
0.5,0.25,1.59422697
0.5,1,1.613686867
0.5,0.5,1.610060322
0.5,2,1.61457402
0.5,4,1.61479466
0.5,8,1.614849749
1,0.1,1.495959379
1,0.25,1.59422697
1,0.5,1.610060322
1,1,1.613686867
1,2,1.61457402
1,4,1.61479466
2,0.1,1.495959379
1,8,1.614849749
2,0.25,1.59422697
2,0.5,1.610060322
2,1,1.613686867
2,4,1.61479466
2,8,1.614849749
2,2,1.61457402
4,0.1,1.495959379
4,0.25,1.59422697
4,0.5,1.610060322
4,1,1.613686867
4,2,1.61457402
4,4,1.61479466
4,8,1.614849749
10,0.1,1.495959379
10,0.25,1.59422697
10,1,1.613686867
10,0.5,1.610060322
10,2,1.61457402
10,8,1.614849749
0.1,0.1,1.511493851
10,4,1.61479466
0.1,0.25,1.594786195
0.1,0.5,1.60409722
0.1,1,1.605972559
0.1,2,1.60641812
0.1,4,1.606528178
0.1,8,1.606555611
0.25,0.1,1.512541641
0.25,0.25,1.609160118
0.25,0.5,1.622789684
0.25,1,1.625817707
0.25,2,1.626554578
0.25,4,1.626737641
0.25,8,1.626783336
0.5,0.1,1.512632125
0.5,0.25,1.615202519
0.5,1,1.635203162
0.5,0.5,1.631533829
0.5,2,1.636095544
0.5,4,1.636317149
0.5,8,1.636372459
1,0.1,1.512632125
1,0.25,1.615202519
1,0.5,1.631533829
1,1,1.635203162
1,2,1.636095544
1,4,1.636317149
1,8,1.636372459
2,0.1,1.512632125
2,0.5,1.631533829
2,1,1.635203162
2,4,1.636317149
2,0.25,1.615202519
2,2,1.636095544
2,8,1.636372459
4,0.1,1.512632125
4,0.25,1.615202519
4,0.5,1.631533829
4,1,1.635203162
4,2,1.636095544
4,4,1.636317149
4,8,1.636372459
10,0.1,1.512632125
10,0.25,1.615202519
10,0.5,1.631533829
10,1,1.635203162
10,2,1.636095544
10,4,1.636317149
0.1,0.1,1.518870897
10,8,1.636372459
0.1,0.25,1.601449451
0.1,0.5,1.610238174
0.1,1,1.611957944
0.1,2,1.612364563
0.1,4,1.612464903
0.25,0.1,1.521745085
0.1,8,1.612489909
0.25,0.25,1.619613848
0.25,0.5,1.632992618
0.25,1,1.635946264
0.25,2,1.636664469
0.25,4,1.636842874
0.5,0.1,1.521850856
0.5,0.25,1.625949766
0.25,8,1.636887405
0.5,0.5,1.641993162
0.5,2,1.646355839
0.5,1,1.645508369
0.5,4,1.646565809
0.5,8,1.646618185
1,0.1,1.521850856
1,0.25,1.625949766
1,0.5,1.641993162
1,1,1.645508369
1,2,1.646355839
1,4,1.646565809
1,8,1.646618185
2,0.1,1.521850856
2,0.25,1.625949766
2,0.5,1.641993162
2,1,1.645508369
2,2,1.646355839
2,4,1.646565809
2,8,1.646618185
4,0.1,1.521850856
4,0.25,1.625949766
4,0.5,1.641993162
4,2,1.646355839
4,1,1.645508369
4,8,1.646618185
4,4,1.646565809
10,0.25,1.625949766
10,0.1,1.521850856
10,0.5,1.641993162
10,1,1.645508369
0.1,0.1,1.525982641
10,2,1.646355839
10,8,1.646618185
10,4,1.646565809
0.1,0.5,1.620749048
0.1,0.25,1.61135763
0.1,1,1.622635667
0.1,2,1.623086214
0.1,4,1.623197688
0.25,0.1,1.527638395
0.1,8,1.623225486
0.25,0.25,1.626889625
0.25,0.5,1.640357603
0.25,1,1.643426774
0.25,2,1.644171414
0.25,4,1.644356286
0.25,8,1.644402426
0.5,0.1,1.52779446
0.5,0.25,1.635146115
0.5,0.5,1.652699041
0.5,1,1.656807384
0.5,2,1.65780861
0.5,4,1.65805737
0.5,8,1.658119465
1,0.1,1.52779446
1,0.25,1.635146115
1,0.5,1.652699041
1,1,1.656807384
1,2,1.65780861
1,4,1.65805737
1,8,1.658119465
2,0.25,1.635146115
2,0.1,1.52779446
2,0.5,1.652699041
2,1,1.656807384
2,4,1.65805737
2,2,1.65780861
2,8,1.658119465
4,0.1,1.52779446
4,0.25,1.635146115
4,0.5,1.652699041
4,1,1.656807384
4,4,1.65805737
4,2,1.65780861
4,8,1.658119465
10,0.1,1.52779446
10,0.25,1.635146115
10,0.5,1.652699041
10,1,1.656807384
10,2,1.65780861
10,4,1.65805737
10,8,1.658119465
0.1,0.25,1.615912535
0.1,0.1,1.529449501
0.1,0.5,1.626819381
0.1,1,1.629175366
0.1,2,1.629748371
0.1,4,1.629890764
0.1,8,1.62992631
0.25,0.1,1.529449644
0.25,0.5,1.641611717
0.25,0.25,1.628521204
0.25,1,1.644682014
0.25,2,1.645458431
0.25,4,1.645650965
0.25,8,1.645699003
0.5,0.1,1.529687723
0.5,0.5,1.656438332
0.5,0.25,1.638283935
0.5,1,1.660882436
0.5,2,1.662003806
0.5,4,1.662282578
0.5,8,1.662352173
1,0.1,1.529687723
1,0.25,1.638283935
1,0.5,1.656438332
1,1,1.660882436
1,2,1.662003806
1,4,1.662282578
1,8,1.662352173
2,0.1,1.529687723
2,0.25,1.638283935
2,0.5,1.656438332
2,1,1.660882436
2,2,1.662003806
2,4,1.662282578
2,8,1.662352173
4,0.1,1.529687723
4,0.25,1.638283935
4,0.5,1.656438332
4,1,1.660882436
4,2,1.662003806
4,8,1.662352173
4,4,1.662282578
10,0.1,1.529687723
10,0.25,1.638283935
10,0.5,1.656438332
10,1,1.660882436
10,2,1.662003806
10,4,1.662282578
10,8,1.662352173
0.1,0.1,1.536970037
0.1,0.25,1.626767793
0.1,0.5,1.637858623
0.1,1,1.640237798
0.1,2,1.640815805
0.1,4,1.640959405
0.1,8,1.64099525
0.25,0.1,1.53467647
0.25,0.25,1.63492327
0.25,0.5,1.648674522
0.25,1,1.651670051
0.25,2,1.652397222
0.25,4,1.652577801
0.25,8,1.652622872
0.5,0.1,1.534918259
0.5,0.25,1.645066644
0.5,1,1.668591755
0.5,0.5,1.663822922
0.5,2,1.669757584
0.5,8,1.670119775
0.5,4,1.670047418
1,0.1,1.534918253
